created,text,retwc,hashtag,followers,friends
2016-11-14 17:57:11,b'RT @Olympics: Determination is a runners best friend. #MondayMotivation @iaaforg https://t.co/NUFLQqa2qt',122,MondayMotivation,974,696
2016-11-14 17:56:58,"b""RT @theMoneyMatches: It's a while down the road, but eSports is being considered for the 2024 Olympics!\n\nWow\n\nhttps://t.co/yzDIV4wGV3""",20,None,2075,840
2016-11-14 17:56:53,"b""RT @theMoneyMatches: It's a while down the road, but eSports is being considered for the 2024 Olympics!\n\nWow\n\nhttps://t.co/yzDIV4wGV3""",20,None,25,31
2016-11-14 17:56:45,b'RT @Olympics: Determination is a runners best friend. #MondayMotivation @iaaforg https://t.co/NUFLQqa2qt',122,MondayMotivation,329,979
2016-11-14 17:56:40,b'RT @topiclyolympics: Now tracking: Dogue becomes UIPM Champion of Champions https://t.co/9yj2Jg7Plm',1,None,5627,5545
2016-11-14 17:56:35,b'@Zirrub I voted for third snail. He is the superior runner. At this rate we will see him running for team USA in the 2020 Olympics',0,None,697,209
2016-11-14 17:56:19,"b""RT @theMoneyMatches: It's a while down the road, but eSports is being considered for the 2024 Olympics!\n\nWow\n\nhttps://t.co/yzDIV4wGV3""",20,None,5627,5545
2016-11-14 17:56:07,b'Japan embraces robots ahead of 2020 Olympics - BBC News https://t.co/DxCHRCoBdo',0,None,3719,4614
2016-11-14 17:56:06,b'IOC boss Bach expects Qatar Olympics bid - Yahoo Sports https://t.co/rLwnpmKXed',0,None,1862,2174
2016-11-14 17:56:00,"b'Bettman has inquired if NHL can skip 2018 Olympics, return in 2022 -  https://t.co/aPeuvfCT2L'",0,None,268,594
2016-11-14 17:55:46,b'RT @Brinnium: Ethiopian All Time Great Runners In The Beatles Style. \n#Ethiopia \n#Olympics \n#TheBeatles https://t.co/QAzcf5McQj',17,Ethiopia,8875,8078
2016-11-14 17:55:29,b'Los Angeles bid to address realDonaldTrump election at Olympic meeting https://t.co/06hfygyOjj https://t.co/zdgQIyI3Mv #Olympic2016',0,Olympic2016,1273,4798
2016-11-14 17:55:25,b'@THR #garcetti cried that Trump was going to mess up Olympics he falsely called Trump racist and bigot',0,garcetti,52,84
2016-11-14 17:55:21,"b""RT @AlisonJack66: Dory's Avengers - 'The Famous Five' for grown-ups.\n#Albinism #gymnastics #Olympics #adventure \nhttps://t.co/5lbN9ui1cD vi\xe2\x80\xa6""",32,Albinism,4077,4899
2016-11-14 17:55:16,b'Japan embraces robots ahead of 2020 Olympics https://t.co/cLU2vpzT6B https://t.co/4VwxI82W36',0,None,11,57
2016-11-14 17:55:15,b'Japan embraces robots ahead of 2020 Olympics https://t.co/HbZgwhfS5R https://t.co/HPQLVba6TU',0,None,189,165
2016-11-14 17:55:15,b'Japan embraces robots ahead of 2020 Olympics https://t.co/vzobNCxv8S https://t.co/rcA0FdN8Q8',0,None,4620,1781
2016-11-14 17:55:14,b'Japan embraces robots ahead of 2020 Olympics https://t.co/18EdvjIlm1',0,None,22758,24463
2016-11-14 17:55:13,b'Japan embraces robots ahead of 2020 Olympics https://t.co/XPYgxZYOh5 #Technology',0,Technology,243,85
2016-11-14 17:55:13,b'Japan embraces robots ahead of 2020 Olympics https://t.co/84bK0sKCFJ #TechnoNews',0,TechnoNews,3,0
2016-11-14 17:55:13,b'Japan embraces robots ahead of 2020 Olympics https://t.co/dxOeL373Z1 https://t.co/HOz2soQ3eL',0,None,728,913
2016-11-14 17:55:11,b'Japan embraces robots ahead of 2020 Olympics',0,None,194,93
2016-11-14 17:55:10,b'Japan embraces robots ahead of 2020 Olympics https://t.co/ozeKaJ3BQI',0,None,24,0
