username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
David Martosko,38497702,2016-11-28 22:42:56,Modest proposal for @realDonaldTrump: Ask Romney to clean up the VA like he rescued Salt Lake City Olympics. Ideal management job for him,243,None,30775,680,0.45555555555555555,0.8666666666666667
Olympics,52422878,2016-11-29 17:10:53,Don't try this at home. @wrestling https://t.co/rLe0hE9gYs,94,None,4509944,3900,0.0,0.0
Barstool Sports,22637974,2016-11-28 23:10:09,A Special Olympics swimmer got DQ'd for swimming too fast https://t.co/KgPPbpRFkG https://t.co/DWtMSam1yK,69,None,483792,866,0.2785714285714286,0.5857142857142856
Xinhua Sports,736101479715614720,2016-11-30 07:12:44,#China bans Rio Olympics champ Liu Shiwen from int'l competition for refusing to play World Cup in Oct. The world N... https://t.co/QCl9xOupCX,45,China,200831,7,0.0,0.0
RT,64643056,2016-11-29 12:09:00,Woah Slow Down! 9yo Special Olympics swimmer disqualified for being too fast https://t.co/B9L8KSfDUT,53,None,2439330,593,0.01567460317460316,0.4650793650793651
USA Basketball,17049258,2016-11-28 22:57:20,Representing your country in the Olympics is an honor. Bringing home the gold - unforgettable #USABWNT... https://t.co/7gQ8gZJmbe,43,USABWNT,867504,1209,0.8,1.0
The Japan Times,7424642,2016-11-30 03:45:08,Estimated cost for Tokyo 2020 Olympics jumps to Y=2 trillion https://t.co/njJUSBXtH7 https://t.co/qE7OhwdxsS,20,None,228011,38,0.0,0.0
The Japan Times,7424642,2016-11-29 10:50:08,Estimated cost for Tokyo 2020 Olympics jumps to Y=2 trillion https://t.co/9nDUxsEGWq https://t.co/k1IcqnKIg1,20,None,228011,38,0.0,0.0
Olympics,52422878,2016-11-28 16:55:38,"""Choose your dreams, whatever hardship you may have"" - @jillppotts @WorldRugby https://t.co/1CEjFJ4zha",85,None,4509944,3900,0.0,0.0
China Xinhua News,487118986,2016-11-30 02:45:17,2022 Winter @Olympics cohost of Beijing's new goal on talent pool building: get 5 million winter sport fans by 2020... https://t.co/3G7Pgz8fze,28,None,6680236,132,0.13636363636363635,0.45454545454545453
Financial Times,4898091,2016-11-30 11:13:08,Toyota targets Tokyo Olympics for new hydrogen car https://t.co/Ql1e7D6KNx,17,None,5452627,744,0.13636363636363635,0.45454545454545453
AFP news agency,380648579,2016-11-29 07:18:05,Heaven and hull for Japan's kayaking monk  https://t.co/Xy8sHxQtX3 https://t.co/MOAi88eqtk,22,None,795930,553,0.0,0.0
Rachel Axon,623453038,2016-11-29 20:09:41,"Good story from @roxscott - After record year, Matthew Centrowitz doesn't shy away from expectations https://t.co/IccyTYPtzg",20,None,5269,1095,0.09999999999999998,0.55
